PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2010,MARCH,263,Star Trek Deep Space 9 Fools Gold,4,3.99,IDW,5266
COMIC,2010,MARCH,264,Robocop,3,3.5,Dynamic,5247
COMIC,2010,MARCH,265,Incredibles,6,2.99,Boom,5229
COMIC,2010,MARCH,266,28 Days Later,8,3.99,Boom,5186
COMIC,2010,MARCH,267,Resident Evil,4,3.99,DC,5076
COMIC,2010,MARCH,268,Modern Warfare 2 Ghost,4,3.99,DC,5027
COMIC,2010,MARCH,269,Archie,607,2.5,Archie,5015
COMIC,2010,MARCH,270,Dragon Age,1,3.99,IDW,4984
COMIC,2010,MARCH,271,Web,7,3.99,DC,4978
COMIC,2010,MARCH,272,Ultimate X,1,3.99,Marvel,4954
COMIC,2010,MARCH,273,Usagi Yojimbo,127,3.5,Dark Horse,4893
COMIC,2010,MARCH,274,Army of Darkness,26,3.99,Dynamic,4782
COMIC,2010,MARCH,275,Dellec,2,2.5,Aspen,4770
COMIC,2010,MARCH,276,Super Friends,25,2.5,DC,4679
COMIC,2010,MARCH,277,"Women of Marvel Celebrating SevenDecades",1,9.99,Marvel,4654
COMIC,2010,MARCH,278,Muppet Show,3,2.99,Boom,4556
COMIC,2010,MARCH,279,Zorro Matanzas,2,3.99,Dynamic,4526
COMIC,2010,MARCH,280,FVZA,3,4.99,Radical,4507
COMIC,2010,MARCH,281,A-Team Shotgun Wedding,2,3.99,IDW,4458
COMIC,2010,MARCH,282,Farscape Dargos Quest,4,3.99,Boom,4428
COMIC,2010,MARCH,283,A-Team War Stories Ba,1,3.99,IDW,4373
COMIC,2010,MARCH,284,Aladdin Legacy of the Lost,2,4.99,Radical,4354
COMIC,2010,MARCH,285,Billy Batson And The Magic of Shazam,14,2.5,DC,4226
COMIC,2010,MARCH,286,A-Team War Stories Hannibal,1,3.99,IDW,4214
COMIC,2010,MARCH,287,Marvel Adventures Spider-Man,61,2.99,Marvel,4201
COMIC,2010,MARCH,288,Incredibles,7,2.99,Boom,4024
COMIC,2010,MARCH,289,Ghoul,3,3.99,IDW,4006
COMIC,2010,MARCH,290,Tank Girl Royal Escape,1,3.99,IDW,3957
COMIC,2010,MARCH,291,Ghost Projekt,1,3.99,Oni,3957
COMIC,2010,MARCH,292,Walt Disneys & Stories,704,2.99,Boom,3914
COMIC,2010,MARCH,293,Unclerooge,389,2.99,Boom,3908
COMIC,2010,MARCH,294,Locke & Key Crown of Shadows,3,3.99,IDW,3859
COMIC,2010,MARCH,295,Scooby Doo,154,2.5,DC,3847
COMIC,2010,MARCH,296,Shuddertown,1,3.5,Image,3835
COMIC,2010,MARCH,297,Fade To Black,1,3.5,Image,3835
COMIC,2010,MARCH,298,Toy Story,2,2.99,Boom,3804
COMIC,2010,MARCH,299,Wall-E,4,2.99,Boom,3737
COMIC,2010,MARCH,300,Wizards of Mickey,2,2.99,Boom,3706
TPB,2010,MARCH,1,Kick Ass Prem HC,,24.99,Marvel,7251
TPB,2010,MARCH,2,"Buffy the Vampire Slayer Season 8Vol. 6 Retreat",,15.99,Dark Horse,7029
TPB,2010,MARCH,3,"Boys Vol. 6 Self-PreservationSociety",,19.99,Dynamic,6640
TPB,2010,MARCH,4,Hellboy Vol. 9 Wild Hunt,,19.99,Dark Horse,5701
TPB,2010,MARCH,5,Haunt Vol. 1,,9.99,Image,3895
TPB,2010,MARCH,6,"Northlanders Vol. 3 Blood In TheSnow",,14.99,DC,3806
TPB,2010,MARCH,7,Captain America Reborn Premiere HC,,24.99,Marvel,3742
TPB,2010,MARCH,8,Planetary HC Vol. 4,,24.99,DC,3699
TPB,2010,MARCH,9,"Archie Wedding: Archie In Will YouMarry Me",,14.95,Archie,3552
TPB,2010,MARCH,10,Twilight Manga Vol. 1,,19.99,Hachette,3541
TPB,2010,MARCH,11,"Greek Street Vol. 1 Blood Calls ForBlood",,9.99,DC,3430
TPB,2010,MARCH,12,Deadpool Suicide Kings,,19.99,Marvel,3090
TPB,2010,MARCH,13,Batman Heart of Hush,,14.99,DC,2979
