ID, TITLE, ISSUENUMBER, EST_SALES, MONTH_RANK, DESCR, CHARACTERS, CREATORS, REL_EVENTS, DATE_INFO, PRICE_INFO
55840,Agent Carter: S.H.I.E.L.D. 50th Anniversary (2015) #1,1,26438,72,"Agent Carter is back in an all-new adventure that reveals her secret history with S.H.I.E.L.D.! When Dum Dum Dugan attempts to recruit her to S.H.I.E.L.D., will Peggy join up or go her own way? Operation S.I.N.'s crackerjack team of Kathryn Immonen and Rich Ellis return to the world of Peggy Carter!",, | artist:Rich Ellis | writer:Kathryn Immonen | penciller (cover):Declan Shalvey,, | onsaleDate:2015-09-16T00:00:00-0400 | focDate:2015-09-02T00:00:00-0400, | printPrice:3.99 
51208,Age of Apocalypse (2015) #1,1,88346,9,"His war has been won. The few humans left alive are enslaved, the mutant rebellion crushed. EN SABAH NUR, the APOCALYPSE, rules his BATTLEWORLD kingdom without mercy, but the terrorist X-MEN plan to end his reign. Success means finding one very special mutant named CYPHER and unleashing a weapon that will kill Apocalypse -- and possibly all mutants, too!",, | writer:Fabian Nicieza | penciller (cover):Gerardo Sandoval,, | onsaleDate:2015-07-08T00:00:00-0400 | focDate:2015-06-24T00:00:00-0400, | printPrice:4.99 
51211,Age of Apocalypse (2015) #2,2,52058,22,"- The hunt for CYPHER brings MAGNETO's X-MEN into confrontation with CYCLOPS & HAVOK's ELITE MUTANT FORCE! Meanwhile, ANGEL has to protect a ""flatscan"" named JEAN GREY and DR. NEMESIS plans to sabotage DARK BEAST's quest to become APOCALYPSE's newest HORSEMAN.",, | writer:Fabian Nicieza | penciller (cover):Gerardo Sandoval,, | onsaleDate:2015-08-05T00:00:00-0400 | focDate:2015-07-22T00:00:00-0400, | printPrice:3.99 
51212,Age of Apocalypse (2015) #3,3,44390,22,The race to claim the LEGACY VIRUS before it's released by the human insurgency grows desperate! The X-MEN and the HORSEMEN of the APOCALYPSE vie for a weapon that can mean victory for Magneto's rebels or ultimate power for the forces of En Sabah Nur.,, | writer:Fabian Nicieza | penciller (cover):Gerardo Sandoval,, | onsaleDate:2015-09-02T00:00:00-0400 | focDate:2015-08-19T00:00:00-0400, | printPrice:3.99 
51213,Age of Apocalypse (2015) #4,4,40016,32,"The philosophy of Apocalypse has always been ""let the fittest survive,"" but by its ultimate extension, that would only leave one person standing! As mutants fall from the shocking release of a devastating plague, who will live and who will die? And if Apocalypse falls, who will rule in his place...?",, | artist:Iban Coello | writer:Fabian Nicieza | penciller (cover):Gerardo Sandoval,, | onsaleDate:2015-09-16T00:00:00-0400 | focDate:2015-09-02T00:00:00-0400, | printPrice:3.99 
51214,Age of Apocalypse (2015) #5,5,37858,57,"The philosophy of Apocalypse has always been ""let the fittest survive,"" but by its ultimate extension, that would only leave one person standing! As mutants fall from the shocking release of a devastating plague, who will live and who will die? And if Apocalypse falls, who will rule in his place...?",, | artist:Iban Coello | writer:Fabian Nicieza | penciller (cover):Gerardo Sandoval,, | onsaleDate:2015-10-21T00:00:00-0400 | focDate:2015-10-07T00:00:00-0400, | printPrice:3.99 
51808,Marvel Zombies (2015) #1,1,"78,646",12,"Elsa Bloodstone is stationed on the Shield, burdened with the Sisyphean task of keeping the zombie hordes from rampaging through Battleworld. In those moments where she's not enrapt in the throes of battle, she meditates on her deceased father...how everything he taught her gave her the means to fight the zombies, but all the love he didn't give her is what motivated the self-destructive actions that landed her on the Wall in the first place. But when she sees a human child caught in the middle of the zombieverse, she'll muster every ounce of determination she has to throw herself into the zombie horde to rescue the girl. And once Elsa finds her, she's going to have to fight her way back out... ",, | penciller (cover):Ken Lashley | writer:Simon Spurrier | artist:Kev Walker,, | onsaleDate:2015-06-10T00:00:00-0400 | focDate:2015-05-27T00:00:00-0400 | unlimitedDate:2015-12-14T00:00:00-0500 | digitalPurchaseDate:2015-06-05T11:20:14-0400, | printPrice:3.99 
51810,Marvel Zombies (2015) #2,2,40483,50,"Stranded in the Deadlands and saddled with a mysterious child, Elsa Bloodstone is determined to traverse the zombie-ridden landscape and get home. But haunted by ghosts from her past-including visions of her stern father, Ulysses Bloodstone â€"" Elsa begins to realize it may not be the zombies she fears most...",, | writer:Simon Spurrier | penciller (cover):Kev Walker,, | onsaleDate:2015-07-22T00:00:00-0400 | focDate:2015-06-29T00:00:00-0400, | printPrice:3.99 
51811,Marvel Zombies (2015) #3,3,36388,49,"Stalked across the zombie-ridden Deadlands by a merciless hunter, Elsa Bloodstone is determined to fight her way out and save the life of a child who relies on her for survival. But Elsa is about to learn that the child is not who (or what!) she originally claimed to be...",, | penciller (cover):Ken Lashley | writer:Simon Spurrier | penciller:Kev Walker,, | onsaleDate:2015-08-26T00:00:00-0400 | focDate:2015-07-29T00:00:00-0400, | printPrice:3.99 
51221,Age of Ultron Vs. Zombies (2015) #4,4,31220,54,"UNHOLY ALLIANCE! The enemy of my enemy is my friend...But whoever wins, we lose...Unless HANK PYM can deliver us from evil!",, | penciller (cover):Leonard Kirk | artist:Steve Pugh | writer:James Robinson, | Secret Wars (2015), | onsaleDate:2015-09-02T00:00:00-0400 | focDate:2015-08-19T00:00:00-0400, | printPrice:3.99 
